
country_iso3,year,score_dependency_conflict
AFE,2021,0
AFE,2020,0
AFE,2019,0
AFE,2018,0
AFE,2017,0
AFE,2016,0
AFE,2015,0
AFE,2014,0
AFE,2013,0
AFE,2012,0
AFE,2011,0
AFE,2010,0
AFE,2009,0
AFE,2008,0
AFE,2007,0
AFE,2006,0
AFE,2005,0
AFE,2004,0
AFE,2003,0
AFE,2002,0
AFE,2001,0
AFE,2000,0
AFE,1999,0
AFE,1998,0
AFE,1997,0
AFE,1996,0
AFE,1995,0
AFE,1994,0
AFE,1993,0
AFE,1992,0
AFE,1991,0
AFE,1990,0
AFE,1989,0
AFE,1988,0
AFE,1987,0
AFE,1986,0
AFE,1985,0
AFE,1984,0
AFE,1983,0
AFE,1982,0
AFE,1981,0
AFE,1980,0
AFE,1979,0
AFE,1978,0
AFE,1977,0
AFE,1976,0
AFE,1975,0
AFE,1974,0
AFE,1973,0
AFE,1972,0
AFE,1971,0
AFW,2021,0
AFW,2020,0
AFW,2019,0
AFW,2018,0
AFW,2017,0
AFW,2016,0
AFW,2015,0
AFW,2014,0
AFW,2013,0
AFW,2012,0
AFW,2011,0
AFW,2010,0
AFW,2009,0
AFW,2008,0
AFW,2007,0
AFW,2006,0
AFW,2005,0
AFW,2004,0
AFW,2003,0
AFW,2002,0
AFW,2001,0
AFW,2000,0
AFW,1999,0
AFW,1998,0
AFW,1997,0
AFW,1996,0
AFW,1995,0
AFW,1994,0
AFW,1993,0
AFW,1992,0
AFW,1991,0
AFW,1990,0
AFW,1989,0
AFW,1988,0
AFW,1987,0
AFW,1986,0
AFW,1985,0
AFW,1984,0
AFW,1983,0
AFW,1982,0
AFW,1981,0
AFW,1980,0
AFW,1979,0
AFW,1978,0
AFW,1977,0
AFW,1976,0
AFW,1975,0
AFW,1974,0
AFW,1973,0
AFW,1972,0
ARB,2021,0
ARB,2020,0
ARB,2019,0
ARB,2018,0
ARB,2017,0
ARB,2016,0
ARB,2015,0
ARB,2014,0
ARB,2013,0
ARB,2012,0
ARB,2011,0
ARB,2010,0
ARB,2009,0
ARB,2008,0
ARB,2007,0
ARB,2006,0
ARB,2005,0
ARB,2004,0
ARB,2003,0
ARB,2002,0
ARB,2001,0
ARB,2000,0
ARB,1999,0
ARB,1998,0
ARB,1997,0
ARB,1996,0
ARB,1995,0
ARB,1994,0
ARB,1993,0
ARB,1992,0
ARB,1991,0
ARB,1990,0
ARB,1989,0
ARB,1988,0
ARB,1987,0
ARB,1986,0
ARB,1985,0
ARB,1984,0
ARB,1983,0
ARB,1982,0
ARB,1981,0
ARB,1980,0
ARB,1979,0
ARB,1978,0
ARB,1977,0
ARB,1976,0
ARB,1975,0
ARB,1974,0
ARB,1973,0
ARB,1972,0
ARB,1971,0
CSS,2021,0
CSS,2020,0
CSS,2019,0
CSS,2018,0
CSS,2017,0
CSS,2016,0
CSS,2015,0
CSS,2014,0
CSS,2013,0
