
year,global_coal_rent_usd,global_gdp_usd,coal_rents_share_of_global_gdp_pct
1970,9296339100.986645,13573326790002.357,0.06848976116771907
1971,17030739015.199877,20902368098408.043,0.0814775576385384
1972,18345500402.877567,24211138614835.055,0.07577297662339848
1973,22533416997.422665,29952681018635.05,0.07523005030302131
1974,57939912317.252304,35135370950625.97,0.1649047975007079
1975,177453842002.05975,39314278897042.664,0.4513724961528122
1976,196626230009.22736,42469530049002.234,0.46298188320510236
1977,211765124136.43707,47975974924098.83,0.4413982716796554
1978,187542542582.4588,56309488448728.914,0.33305673297533256
1979,195068505277.58456,64925319768420.73,0.30045058841968875
1980,292005316803.7411,75245675545674.27,0.38806923412694105
1981,492027764813.8366,78008248425534.31,0.6307381267296626
1982,551505717068.1304,76845133138268.48,0.7176846399313261
1983,324680386681.93475,77221232287609.16,0.42045481153767167
1984,262244928647.91727,79512008064715.61,0.329818017467844
1985,302181611170.5317,83038163639154.39,0.36390690488252336
1986,187776758476.59125,96579374824723.47,0.19442739075229762
1987,88484463293.35454,109088117298859.77,0.08111283381208323
1988,135394907767.92496,119138206020363.58,0.1136452463828293
1989,199911129093.67398,126306701545834.36,0.158274364421693
1990,291470399852.8334,146360746631757.44,0.19914519880536735
1991,266054483388.02637,150292329550437.06,0.1770246586661233
1992,203417082795.2295,160896506299139.9,0.12642728389455207
1993,110417395285.47905,163467487164160.88,0.0675470071761691
1994,97211715386.52573,176183937423712.22,0.05517626453808734
1995,219247453231.47012,197792491162567.3,0.11084720756728261
1996,192461825645.77148,204405454423201.72,0.09415689331229778
1997,175251956879.5927,204365852574314.44,0.08575403115149341
1998,164507789926.77377,204487035727236.34,0.08044900711760009
1999,117932097385.32437,207952165276118.3,0.0567111658725623
2000,162982549360.7861,214942988009164.8,0.07582594383299296
2001,372453561430.5165,214384013977392.97,0.1737319656071894
2002,221361884462.162,222919312500461.56,0.0993013489855006
2003,230430151887.74197,251705075207821.34,0.0915476780503875
2004,1100875150325.3525,286204944273845.7,0.3846457485626163
2005,980443457848.5964,313700819619842.4,0.31254092961463875
2006,1140410928233.053,344816517239816.44,0.3307297856152026
2007,1507363498629.3752,395644780252666.9,0.38098910281761883
2008,4457505511686.773,442461219948162.5,1.0074341684021488
2009,1780870720281.309,421083815928621.94,0.42292547300919897
2010,3146922944190.705,468079723789851.94,0.6723049053933259
2011,4720270541645.708,526474335181200.06,0.896581319585332
2012,2793869043967.795,540477430608610.7,0.516926126003398
2013,1971829606710.2803,560900525934027.5,0.3515471131760366
2014,1614454039079.7642,578375037702691.6,0.27913618912261207
2015,1000465090251.9509,544101892556751.7,0.1838745837752437
2016,1063490890497.0104,551361595596618.2,0.1928844698271425
2017,1496922914435.4648,591095928092642.8,0.2532453436561064
2018,1808191423777.2344,629632646136473.9,0.2871819679097939
2019,1392559266337.4358,639486397863200.0,0.21776214020979606
2020,1084817960515.7715,620912623917136.1,0.1747134651043181
2021,2232854036938.258,713893783317604.4,0.3127711837693483
