
Entity,Code,Cumulative_Emissions_1850_2023,First_Year
Afghanistan,AFG,63160626.998,1949
Albania,ALB,69324760.0,1933
Algeria,DZA,118753148.81,1916
Andorra,AND,0.0,1990
Angola,AGO,1600747.0,1950
Antigua and Barbuda,ATG,23381.0,1950
Argentina,ARG,542350631.0,1856
Armenia,ARM,44044162.01798,1850
Aruba,ABW,0.0,1926
Australia,AUS,10421215386.0,1850
Austria,AUT,2738086414.0,1850
Azerbaijan,AZE,24263467.0155,1850
Bahamas,BHS,275233.0,1970
Bahrain,BHR,153852.0,1933
Bangladesh,BGD,164419584.5,1946
Barbados,BRB,54532.0,1928
Belarus,BLR,554190846.06,1850
Belgium,BEL,7415862568.0,1850
Benin,BEN,2368300.0,1950
Bermuda,BMU,40304.0,1950
Bhutan,BTN,12085405.03,1970
Bolivia,BOL,2955920.996,1862
Bonaire Sint Eustatius and Saba,BES,0.0,1926
Bosnia and Herzegovina,BIH,808008154.989,1885
Botswana,BWA,97950369.1,1972
Brazil,BRA,2660930262.2,1856
Brunei,BRN,11454383.0,1933
Bulgaria,BGR,2210098073.0,1881
Burkina Faso,BFA,4823.0,1950
Burundi,BDI,846294.0,1950
Cambodia,KHM,34595471.0,1964
Cameroon,CMR,263425.996,1950
Canada,CAN,9787847091.0,1850
Cape Verde,CPV,243631.0,1950
Central African Republic,CAF,19074.0,1950
Chad,TCD,12008.0,1950
Chile,CHL,1049412765.6,1850
China,CHN,204031574706.0,1907
Colombia,COL,792669087.89,1856
Congo,COG,36027.0,1950
Costa Rica,CRI,2575266.0005,1870
Cote d'Ivoire,CIV,655909.0,1950
Croatia,HRV,149214803.86,1885
Cuba,CUB,117306646.87,1856
Curacao,CUW,0.0,1926
Cyprus,CYP,4275628.974,1950
Czechia,CZE,9827312150.1,1860
Democratic Republic of Congo,COD,46636769.01,1920
Denmark,DNK,1851609512.0,1850
Dominican Republic,DOM,78806564.0188,1870
Ecuador,ECU,562066.0001300001,1892
Egypt,EGY,189547091.0,1911
El Salvador,SLV,211729.00003,1870
Estonia,EST,1185506005.8175,1850
Eswatini,SWZ,21215857.97,1950
Ethiopia,ETH,13845221.0,1950
Faroe Islands,FRO,237841.0,1950
Fiji,FJI,1886332.0,1950
Finland,FIN,1279556091.33,1860
France,FRA,18833835964.0,1850
Gabon,GAB,7954.0,1950
Georgia,GEO,84563853.98,1850
Germany,DEU,64842499130.0,1850
Ghana,GHA,4163903.0,1950
Greece,GRC,1651379160.9,1867
Greenland,GRL,2174978.0,1950
Guatemala,GTM,54736606.14,1870
Guinea,GIN,217028.0,1950
Guyana,GUY,134037.0,1950
Haiti,HTI,1237051.0005,1870
Honduras,HND,5862865.0,1870
Hong Kong,HKG,819065855.03,1950
Hungary,HUN,2625123385.0,1851
Iceland,ISL,24286583.03,1936
India,IND,40603961827.0,1858
Indonesia,IDN,4843471833.02,1889
Iran,IRN,229331986.8,1906
Iraq,IRQ,203304.0,1927
Ireland,IRL,889425488.82,1850
Israel,ISR,826843197.0,1950
Italy,ITA,4787165697.8,1860
Jamaica,JAM,7104163.03,1950
Japan,JPN,25015803372.5,1868
Jordan,JOR,10071144.0,2008
Kazakhstan,KAZ,9674588283.302,1850
Kenya,KEN,34803126.06,1950
Kuwait,KWT,6595317.0,1946
Kyrgyzstan,KGZ,417676854.5,1850
Laos,LAO,126029051.0,1955
Latvia,LVA,152483030.1282,1850
Lebanon,LBN,18309653.3,1950
Lesotho,LSO,58377533.0,1990
Libya,LBY,1126563.0,1950
Liechtenstein,LIE,983.0,1990
Lithuania,LTU,186851766.1185,1850
Luxembourg,LUX,358681247.8,1950
Macao,MAC,271367.0,1954
Madagascar,MDG,18107816.06,1945
Malawi,MWI,12560775.01,1950
Malaysia,MYS,1385079336.93,1890
Malta,MLT,6408045.0,1950
Mauritania,MRT,436259.0,1969
Mauritius,MUS,36674331.994,1950
Mexico,MEX,1702362835.2965,1856
Moldova,MDA,402896514.228,1850
Mongolia,MNG,687392798.96,1950
Montenegro,MNE,77956351.976,1885
Morocco,MAR,528648637.96,1930
Mozambique,MOZ,44123149.94,1927
Myanmar,MMR,61268659.980000004,1928
Namibia,NAM,3850115.0,1991
Nepal,NPL,56758625.996,1964
Netherlands,NLD,3959905010.2,1850
New Caledonia,NCL,62802404.12,1950
New Zealand,NZL,640025341.57,1878
Nicaragua,NIC,324818.9998,1870
Niger,NER,12908559.02,1950
Nigeria,NGA,166262990.0,1915
North Korea,PRK,4999690439.77,1905
North Macedonia,MKD,323093860.13,1885
Norway,NOR,623085193.05,1850
Oman,OMN,1556575.0002000001,1980
Pakistan,PAK,914506408.4,1946
Panama,PAN,19358227.0106,1904
Papua New Guinea,PNG,51272.0,1970
Paraguay,PRY,158014.0,1890
Peru,PER,133745478.066,1856
Philippines,PHL,1036604458.0,1907
Poland,POL,23459969819.8,1850
Portugal,PRT,651525148.1,1870
Qatar,QAT,6890.0,1949
Romania,ROU,2612643322.84,1858
Russia,RUS,46483686304.97,1850
Rwanda,RWA,131149.0,1950
Saint Helena,SHN,0.0,1968
Saint Kitts and Nevis,KNA,11688.0,1950
Saint Pierre and Miquelon,SPM,495476.0,1950
Samoa,WSM,0.0,1970
Saudi Arabia,SAU,6083206.98,1936
Senegal,SEN,23620443.990000002,1949
Serbia,SRB,2164216977.5,1885
Sierra Leone,SLE,864211.0,1950
Singapore,SGP,27594444.07,1950
Sint Maarten (Dutch part),SXM,0.0,1926
Slovakia,SVK,2688623121.1,1860
Slovenia,SVN,385324687.27,1885
South Africa,ZAF,19185875746.0,1884
South Korea,KOR,8877401810.02,1905
South Sudan,SSD,105564.9998,1950
Spain,ESP,4885846577.1,1850
Sri Lanka,LKA,76174732.87,1950
Sudan,SDN,1289483.0,1950
Suriname,SUR,1377568.0,1950
Sweden,SWE,1522080490.91,1850
Switzerland,CHE,592871475.8,1858
Syria,SYR,640230.0,1950
Taiwan,TWN,4780359789.3,1896
Tajikistan,TJK,129240851.031,1850
Tanzania,TZA,20591864.84,1950
Thailand,THA,1802744273.0,1950
Togo,TGO,0.0,1973
Tonga,TON,0.0,1970
Trinidad and Tobago,TTO,230935.0,1909
Tunisia,TUN,14601195.98,1916
Turkey,TUR,4965723426.67,1865
Turkmenistan,TKM,80130457.001,1850
Uganda,UGA,0.0,2005
Ukraine,UKR,17178009711.56,1850
United Arab Emirates,ARE,101296244.03,2001
United Kingdom,GBR,53304428772.0,1850
United States,USA,176978967430.0,1850
Uruguay,URY,77822126.94,1856
Uzbekistan,UZB,595914717.58,1850
Vanuatu,VUT,154987.0,1962
Venezuela,VEN,42844319.09006,1870
Vietnam,VNM,2602915267.68,1892
Yemen,YEM,6025806.01,2008
Zambia,ZMB,124199427.2,1950
Zimbabwe,ZWE,635184678.21,1903
