
Entity,Code,Year,Coal_CO2_Emissions,Coal_Production_TWh,Emissions_Intensity_tCO2_per_TWh
Afghanistan,AFG,2023,3843091.0,,
Albania,ALB,2023,788590.0,,
Algeria,DZA,2023,688810.0,,
Andorra,AND,2023,0.0,,
Argentina,ARG,2023,4106394.8,,
Armenia,ARM,2023,40706.0,,
Australia,AUS,2023,142666500.0,3262.4453,43729.92859068013
Austria,AUT,2023,10891721.0,,
Azerbaijan,AZE,2023,0.0,,
Bahamas,BHS,2023,3870.0,,
Bangladesh,BGD,2023,23905314.0,,
Belarus,BLR,2023,4393960.0,,
Belgium,BEL,2023,10158800.0,,
Benin,BEN,2023,289304.0,,
Bermuda,BMU,2023,0.0,,
Bhutan,BTN,2023,845729.0,,
Bolivia,BOL,2023,21279.0,,
Bosnia and Herzegovina,BIH,2023,14309197.0,,
Botswana,BWA,2023,3783306.0,,
Brazil,BRA,2023,54848320.0,30.168175,1818085.4493186942
Brunei,BRN,2023,3109297.0,,
Bulgaria,BGR,2023,14885241.0,40.82317,364627.26926889806
Burundi,BDI,2023,53859.0,,
Cambodia,KHM,2023,4440076.0,,
Canada,CAN,2023,36769324.0,352.55585,104293.61475635704
Chile,CHL,2023,14492830.0,,
China,CHN,2023,8550844000.0,25933.818,329717.89961663185
Colombia,COL,2023,16001608.0,543.2489,29455.389601341114
Costa Rica,CRI,2023,43788.0,,
Croatia,HRV,2023,1336470.0,,
Cuba,CUB,2023,15480.0,,
Cyprus,CYP,2023,111668.0,,
Czechia,CZE,2023,44852984.0,113.92237,393715.33439832757
Democratic Republic of Congo,COD,2023,70735.0,,
Denmark,DNK,2023,2765814.0,,
Dominican Republic,DOM,2023,7376031.0,,
Egypt,EGY,2023,8584749.0,,
El Salvador,SLV,2023,2919.0,,
Estonia,EST,2023,6328349.0,,
Eswatini,SWZ,2023,227504.0,,
Ethiopia,ETH,2023,1162460.0,,
Finland,FIN,2023,8833524.0,,
France,FRA,2023,19635840.0,,
Georgia,GEO,2023,791960.0,,
Germany,DEU,2023,188477460.0,254.48016,740637.1482947825
Greece,GRC,2023,6389080.0,15.25057,418940.4068175813
Guatemala,GTM,2023,2971728.0,,
Guyana,GUY,2023,3040.0,,
Hong Kong,HKG,2023,13291000.0,,
Hungary,HUN,2023,3781948.0,7.720959,489828.7894029744
Iceland,ISL,2023,516851.0,,
India,IND,2023,2032011900.0,4674.3823,434712.38969906245
Indonesia,IDN,2023,399050600.0,4370.5825,91303.75642148385
Iran,IRN,2023,5443789.0,,
Iraq,IRQ,2023,6390.0,,
Ireland,IRL,2023,2758014.0,,
Israel,ISR,2023,12170411.0,,
Italy,ITA,2023,21872148.0,,
Jamaica,JAM,2023,328942.0,,
Japan,JPN,2023,393897660.0,4.46592,88200787.29578677
Jordan,JOR,2023,1662454.0,,
Kazakhstan,KAZ,2023,146571220.0,558.4353,262467.68425993127
Kenya,KEN,2023,3101389.0,,
Kuwait,KWT,2023,336952.0,,
Kyrgyzstan,KGZ,2023,3846737.0,,
Laos,LAO,2023,15865707.0,,
Latvia,LVA,2023,30085.0,,
Lebanon,LBN,2023,1488375.0,,
Lesotho,LSO,2023,3134499.0,,
Liechtenstein,LIE,2023,0.0,,
Lithuania,LTU,2023,448911.0,,
Luxembourg,LUX,2023,192938.0,,
Madagascar,MDG,2023,1732469.0,,
Malawi,MWI,2023,103230.0,,
Malaysia,MYS,2023,88600820.0,,
Malta,MLT,2023,7.0,,
Mauritius,MUS,2023,2122948.0,,
Mexico,MEX,2023,38865252.0,35.93556,1081526.2653483066
Moldova,MDA,2023,312081.0,,
Mongolia,MNG,2023,41270740.0,440.4494,93701.43312716512
Montenegro,MNE,2023,1219955.0,,
Morocco,MAR,2023,25058546.0,,
Mozambique,MOZ,2023,31418.0,,
Myanmar,MMR,2023,3615076.0,,
Namibia,NAM,2023,143243.0,,
Nepal,NPL,2023,5119976.0,,
Netherlands,NLD,2023,16798668.0,,
New Caledonia,NCL,2023,2616302.0,,
New Zealand,NZL,2023,3389950.0,18.271055,185536.6315738199
Niger,NER,2023,311558.0,,
Nigeria,NGA,2023,5770178.0,,
North Korea,PRK,2023,55673004.0,,
North Macedonia,MKD,2023,3390235.0,,
Norway,NOR,2023,4123204.2,,
Oman,OMN,2023,23675.0,,
Pakistan,PAK,2023,54056240.0,90.48866,597381.373533435
Panama,PAN,2023,1897469.0,,
Paraguay,PRY,2023,3040.0,,
Peru,PER,2023,1947126.0,,
Philippines,PHL,2023,83181710.0,,
Poland,POL,2023,145356770.0,412.9258,352016.68193171755
Portugal,PRT,2023,174665.0,,
Qatar,QAT,2023,3672.0,,
Romania,ROU,2023,10302007.0,26.130772,394248.09186655487
Russia,RUS,2023,427635870.0,2554.2742,167419.71946473094
Rwanda,RWA,2023,22441.0,,
Saudi Arabia,SAU,2023,519629.0,,
Senegal,SEN,2023,1713568.0,,
Serbia,SRB,2023,25258462.0,64.00724,394618.8274951396
Singapore,SGP,2023,1446610.0,,
Slovakia,SVK,2023,9478471.0,,
Slovenia,SVN,2023,2949233.0,,
South Africa,ZAF,2023,329772960.0,1535.9825,214698.38360788615
South Korea,KOR,2023,251869860.0,3.5380657,71188576.28901577
Spain,ESP,2023,13552842.0,0.22535187,60140801.13912522
Sri Lanka,LKA,2023,5965279.0,,
Sweden,SWE,2023,6790012.0,,
Switzerland,CHE,2023,431417.0,,
Syria,SYR,2023,8704.0,,
Taiwan,TWN,2023,145029220.0,,
Tajikistan,TJK,2023,3395577.0,,
Tanzania,TZA,2023,2540356.0,,
Thailand,THA,2023,59327092.0,36.904957,1607564.3171728936
Turkey,TUR,2023,157877940.0,178.79967,882987.8712863397
Turkmenistan,TKM,2023,4.0,,
Uganda,UGA,2023,0.0,,
Ukraine,UKR,2023,53042716.0,119.55115,443682.18958997884
United Arab Emirates,ARE,2023,9257262.0,,
United Kingdom,GBR,2023,17556306.0,3.9540837,4440044.0992182335
United States,USA,2023,776767170.0,3272.0107,237397.5030093881
Uruguay,URY,2023,0.0,,
Uzbekistan,UZB,2023,15053507.0,21.628208,696012.6793676111
Venezuela,VEN,2023,672758.0,1.6893386,398237.5114142304
Vietnam,VNM,2023,192076900.0,307.7884,624055.0326133148
Yemen,YEM,2023,670204.0,,
Zambia,ZMB,2023,2387755.0,,
Zimbabwe,ZWE,2023,7270984.0,37.412743,194345.11925522276
