
iso3,country,year,labor_force,coal_rents_pct,share_electricity_coal_pct,jobs_coal_estimated,A1_jobs_share,A2_global_jobs_share,A3_share_electricity_coal,necessity_score1
AFG,Afghanistan,2022.0,8617545.0,0.0193977562950517,0.0,627.8973017715656,7.286266584874991e-05,9.966623837643898e-05,0.0,0.0001226957850369694
AGO,Angola,2022.0,14885226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Albania,2022.0,1389262.0,0.0322572749578343,0.0,168.3314990568131,0.00012116612925194319,2.6719285564573506e-05,0.0,0.00013452577203422992
ARE,United Arab Emirates,2022.0,6499963.0,0.0,0.17756275814151,0.0,0.0,0.0,0.0017756275814151002,0.0017756275814151002
ARG,Argentina,2022.0,21566906.0,0.000157746419195732,1.82223900580178,12.77911896717294,5.925337165735753e-07,2.028431582090943e-06,0.0182223900580178,0.01822399680752542
ARM,Armenia,2022.0,1480203.0,2.759777831075e-06,0.0,0.0153443663878478,1.0366393250012195e-08,2.4356137123567937e-09,0.0,1.1584200106190592e-08
AUS,Australia,2022.0,14188083.0,0.786459619916648,49.199170628768,41913.47870572667,0.002954132612963053,0.006652933127893123,0.49199170628768,0.4982723054645896
AUT,Austria,2022.0,4715124.0,0.0,2.83266886231005,0.0,0.0,0.0,0.0283266886231005,0.0283266886231005
AZE,Azerbaijan,2022.0,5012404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDI,Burundi,2022.0,5695461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL,Belgium,2022.0,5320795.0,0.0,2.41599266238639,0.0,0.0,0.0,0.0241599266238639,0.0241599266238639
BEN,Benin,2022.0,6035371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,Burkina Faso,2022.0,6091676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGD,Bangladesh,2022.0,74651451.0,0.0132526717304666,5.53308320631571,3716.167255158219,4.9780241447124976e-05,0.0005898678182790824,0.0553308320631571,0.055675546213743765
BGR,Bulgaria,2022.0,3130976.0,0.126365577523338,43.1394681082794,1486.1480749863817,0.00047465968279104717,0.0002358965198391082,0.431394681082794,0.4319872890255046
BHR,Bahrain,2022.0,868716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHS,"Bahamas, The",2022.0,232678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIH,Bosnia and Herzegovina,2022.0,1355798.0,0.301983937935592,67.4439899884012,1537.9152065401295,0.001134324734613954,0.0002441135248476396,0.674439899884012,0.6756962813810498
BLR,Belarus,2022.0,4905932.0,0.0,0.065989847715736,0.0,0.0,0.0,0.00065989847715736,0.00065989847715736
BLZ,Belize,2022.0,180679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOL,Bolivia,2022.0,6569575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,Brazil,2022.0,106610573.0,0.0143152350634996,2.10121189126786,5732.608977090099,5.377148640867073e-05,0.0009099379328714442,0.021012118912678603,0.021520859365522997
BRB,Barbados,2022.0,147042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,Brunei Darussalam,2022.0,230003.0,0.0,21.5458764726883,0.0,0.0,0.0,0.215458764726883,0.215458764726883
BTN,Bhutan,2022.0,384122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,Botswana,2022.0,1065472.0,0.500235146664399,96.1930926216641,2002.0264062779702,0.0018790042406351083,0.00031778196925047144,0.9619309262166411,0.9639688214419014
CAF,Central African Republic,2022.0,1906249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAN,Canada,2022.0,21454656.0,0.0730211132400775,4.03048620397936,5884.689644647878,0.00027428496847713976,0.000934077721372679,0.0403048620397936,0.04104618586895708
CHE,Switzerland,2022.0,4967649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHI,Channel Islands,2022.0,82951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHL,Chile,2022.0,9670728.0,0.0001519770108825,23.6392801423894,5.5206552188854605,5.708624230653019e-07,8.762944791881683e-07,0.236392801423894,0.23639381043355664
CHN,China,2022.0,770113477.0,0.607568894164746,61.7186608827991,1757534.3136552747,0.0022821757651895693,0.2789737005802023,0.617186608827991,0.7589556348832818
CIV,Cote d'Ivoire,2022.0,11882499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMR,Cameroon,2022.0,10518217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COD,"Congo, Dem. Rep.",2022.0,36183996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COG,"Congo, Rep.",2022.0,2409732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL,Colombia,2022.0,25830229.0,0.725814104210245,5.9260705752619,70421.81561441049,0.0027263333830455194,0.011178065970541348,0.059260705752619,0.0675760721209352
COM,Comoros,2022.0,262624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPV,Cabo Verde,2022.0,218809.0,17.1799974804718,0.0,14120.232093502804,0.06453222716388633,0.0022413066815083816,0.0,0.06565288050464052
CRI,Costa Rica,2022.0,2504874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUB,Cuba,2022.0,4939595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYP,Cyprus,2022.0,755975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZE,Czechia,2022.0,5369986.0,0.0939363572598997,44.1306807467471,1894.787130568343,0.0003528476853698209,0.00030075986199497507,0.44130680746747103,0.4418100350838383
DEU,Germany,2022.0,43953915.0,0.014480866265137,32.6517493701165,2390.8133093606743,5.439363727578475e-05,0.00037949417608899595,0.326517493701165,0.3267616344264853
DJI,Djibouti,2022.0,254258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNK,Denmark,2022.0,3147518.0,0.0,12.6078169034131,0.0,0.0,0.0,0.126078169034131,0.126078169034131
DOM,Dominican Republic,2022.0,5169749.0,0.0,33.4422708809935,0.0,0.0,0.0,0.33442270880993497,0.33442270880993497
DZA,Algeria,2022.0,13020342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECU,Ecuador,2022.0,8627291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGY,"Egypt, Arab Rep.",2022.0,32394044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERI,Eritrea,2022.0,1619790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,Spain,2022.0,23841592.0,0.0,2.97345907390564,0.0,0.0,0.0,0.029734590739056398,0.029734590739056398
EST,Estonia,2022.0,735699.0,0.0,65.9691136974038,0.0,0.0,0.0,0.659691136974038,0.659691136974038
ETH,Ethiopia,2022.0,51453741.0,0.000163832810177573,0.0,31.664409605935514,6.153956736777509e-07,5.026096762846907e-06,0.0,3.128444055101204e-06
FIN,Finland,2022.0,2846126.0,0.0,8.57657158681806,0.0,0.0,0.0,0.0857657158681806,0.0857657158681806
FJI,Fiji,2022.0,381496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA,France,2022.0,31537676.0,0.0,1.27268591072241,0.0,0.0,0.0,0.0127268591072241,0.0127268591072241
GAB,Gabon,2022.0,789366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBR,United Kingdom,2022.0,34472367.0,0.00102273685261212,2.0232408881648,132.43066751734267,3.841647065237576e-06,2.102074087576868e-05,0.020232408881647998,0.02024676089915112
GEO,Georgia,2022.0,1843861.0,0.00790127231235254,0.0,54.724117459631906,2.9679090484386787e-05,8.686367850735223e-06,0.0,3.40222744097544e-05
GHA,Ghana,2022.0,13346759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIN,Guinea,2022.0,4309075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMB,"Gambia, The",2022.0,739632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNB,Guinea-Bissau,2022.0,796417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNQ,Equatorial Guinea,2022.0,682922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRC,Greece,2022.0,4659964.0,0.0146481346149569,10.9284222517562,256.4002487411354,5.5021937667573266e-05,4.06984521811326e-05,0.109284222517562,0.10935959368132013
GTM,Guatemala,2022.0,7234412.0,0.0,9.58182912154031,0.0,0.0,0.0,0.0958182912154031,0.0958182912154031
GUM,Guam,2022.0,76482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUY,Guyana,2022.0,291267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG,"Hong Kong SAR, China",2022.0,3786090.0,0.0,35.2660885946201,0.0,0.0,0.0,0.352660885946201,0.352660885946201
HND,Honduras,2022.0,4588868.0,0.0,0.557553956834532,0.0,0.0,0.0,0.0055755395683453205,0.0055755395683453205
HRV,Croatia,2022.0,1740579.0,0.0,10.9563994374121,0.0,0.0,0.0,0.10956399437412101,0.10956399437412101
HTI,Haiti,2022.0,5122685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUN,Hungary,2022.0,4918086.0,0.00936874396198461,8.56487952144015,173.07368763173488,3.519126904892165e-05,2.747201390979919e-05,0.0856487952144015,0.08569772249040532
IDN,Indonesia,2022.0,139637843.0,1.22270966877205,65.969400618357,641327.7560832304,0.004592793345305616,0.10179805652114768,0.65969400618357,0.7151858277894494
IND,India,2022.0,568900960.0,1.28029169863481,72.0403161523697,2735893.29008498,0.004809085381197072,0.4342687762039651,0.720403161523697,0.9423466350068765
IRL,Ireland,2022.0,2709339.0,0.0,7.71821001329198,0.0,0.0,0.0,0.0771821001329198,0.0771821001329198
IRN,"Iran, Islamic Rep.",2022.0,27993264.0,0.00939526245305688,0.193380459054204,987.9068903275147,3.529087891742509e-05,0.00015681061751230392,0.00193380459054204,0.0020475007782156172
IRQ,Iraq,2022.0,11326035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL,Iceland,2022.0,232189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISR,Israel,2022.0,4467037.0,0.0,22.0235901216366,0.0,0.0,0.0,0.22023590121636602,0.22023590121636602
ITA,Italy,2022.0,25351560.0,0.0,8.52088843186212,0.0,0.0,0.0,0.08520888431862121,0.08520888431862121
JAM,Jamaica,2022.0,1544729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOR,Jordan,2022.0,2957476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPN,Japan,2022.0,68929060.0,0.000357494585802386,30.6554251594827,92.56043414400028,1.342836158566507e-06,1.4692132403809568e-05,0.306554251594827,0.3065629404971875
