country_iso3,year,coal_electricity_share,score_tariff_trade_protection
AFG,2000,0,0
AFG,2001,5.7971015,5.7971015
AFG,2002,5.633803,5.633803
AFG,2003,9.89011,9.89011
AFG,2004,7.5949364,7.5949364
AFG,2005,7.317073,7.317073
AFG,2006,16.666668,16.666668
AFG,2007,14.851486,14.851486
AFG,2008,16.666666,16.666666
AFG,2009,6.741573,6.741573
AFG,2010,6.8181815,6.8181815
AFG,2011,12.987014,12.987014
AFG,2012,7.9545455,7.9545455
AFG,2013,10.81081,10.81081
AFG,2014,9.4827585,9.4827585
AFG,2015,8.474577,8.474577
AFG,2016,7.4380164,7.4380164
AFG,2017,8.730159,8.730159
AFG,2018,10.256411,10.256411
AFG,2019,5.4794517,5.4794517
AFG,2020,1.6949153,1.6949153
AFG,2021,2.8301888,2.8301888
AFG,2022,3.125,3.125
AFG,2023,3.0927835,3.0927835
ALB,2000,0,0
ALB,2001,0,0
ALB,2002,0,0
ALB,2003,0,0
ALB,2004,0,0
ALB,2005,0,0
ALB,2006,0,0
ALB,2007,0,0
ALB,2008,0,0
ALB,2009,0,0
ALB,2010,0,0
ALB,2011,0,0
ALB,2012,0,0
ALB,2013,0,0
ALB,2014,0,0
ALB,2015,0,0
ALB,2016,0,0
ALB,2017,0,0
ALB,2018,0,0
ALB,2019,0,0
ALB,2020,0,0
ALB,2021,0,0
ALB,2022,0,0
ALB,2023,0,0
DZA,2000,0,0
DZA,2001,0,0
DZA,2002,0,0
DZA,2003,0,0
DZA,2004,0,0
DZA,2005,0,0
DZA,2006,0,0
DZA,2007,0,0
DZA,2008,0,0
DZA,2009,0,0
DZA,2010,0,0
DZA,2011,0,0
DZA,2012,0,0
DZA,2013,0,0
DZA,2014,0,0
DZA,2015,0,0
DZA,2016,0,0
DZA,2017,0,0
DZA,2018,0,0
DZA,2019,0,0
DZA,2020,0,0
DZA,2021,0,0
DZA,2022,0,0
DZA,2023,0,0
ASM,2000,0,0
ASM,2001,0,0
ASM,2002,0,0
ASM,2003,0,0
ASM,2004,0,0
ASM,2005,0,0
ASM,2006,0,0
ASM,2007,0,0
ASM,2008,0,0
ASM,2009,0,0
ASM,2010,0,0
ASM,2011,0,0
ASM,2012,0,0
ASM,2013,0,0
ASM,2014,0,0
ASM,2015,0,0
ASM,2016,0,0
ASM,2017,0,0
ASM,2018,0,0
ASM,2019,0,0
ASM,2020,0,0
ASM,2021,0,0
ASM,2022,0,0
ASM,2023,0,0
AGO,2000,0,0
AGO,2001,0,0
AGO,2002,0,0
AGO,2003,0,0
AGO,2004,0,0
AGO,2005,0,0
AGO,2006,0,0
AGO,2007,0,0
AGO,2008,0,0
AGO,2009,0,0
AGO,2010,0,0
AGO,2011,0,0
AGO,2012,0,0
AGO,2013,0,0
AGO,2014,0,0
AGO,2015,0,0
AGO,2016,0,0
AGO,2017,0,0
AGO,2018,0,0
AGO,2019,0,0
AGO,2020,0,0
AGO,2021,0,0
AGO,2022,0,0
AGO,2023,0,0
ATG,2000,0,0
ATG,2001,0,0
ATG,2002,0,0
ATG,2003,0,0
ATG,2004,0,0
ATG,2005,0,0
ATG,2006,0,0
ATG,2007,0,0
ATG,2008,0,0
ATG,2009,0,0
ATG,2010,0,0
ATG,2011,0,0
ATG,2012,0,0
ATG,2013,0,0
ATG,2014,0,0
ATG,2015,0,0
ATG,2016,0,0
ATG,2017,0,0
ATG,2018,0,0
ATG,2019,0,0
ATG,2020,0,0
ATG,2021,0,0
ATG,2022,0,0
ATG,2023,0,0
ARG,1985,1.3398457,1.3398457
ARG,1986,2.066411,2.066411
ARG,1987,1.9495243,1.9495243
ARG,1988,3.02098,3.02098
ARG,1989,1.7006532,1.7006532
ARG,1990,1.2939935,1.2939935
ARG,1991,1.7194551,1.7194551
ARG,1992,1.4864429,1.4864429
ARG,1993,1.9072624,1.9072624
ARG,1994,3.5780666,3.5780666
ARG,1995,2.8405855,2.8405855
ARG,1996,2.7480004,2.7480004
ARG,1997,2.6165268,2.6165268
ARG,1998,2.4376578,2.4376578
ARG,1999,2.6082196,2.6082196
ARG,2000,2.0004494,2.0004494
ARG,2001,1.5087641,1.5087641
ARG,2002,0.95756006,0.95756006
ARG,2003,1.0209624,1.0209624
ARG,2004,1.6756432,1.6756432
ARG,2005,2.0614657,2.0614657
ARG,2006,1.754386,1.754386
ARG,2007,2.0613108,2.0613108
ARG,2008,1.5913379,1.5913379
ARG,2009,1.4306736,1.4306736
ARG,2010,2.3888888,2.3888888
ARG,2011,2.2472777,2.2472777
ARG,2012,1.940891,1.940891
ARG,2013,1.706705,1.706705
ARG,2014,1.8334056,1.8334056
ARG,2015,1.6435155,1.6435155
ARG,2016,1.3113195,1.3113195
ARG,2017,1.3803997,1.3803997
ARG,2018,1.3830222,1.3830222
ARG,2019,0.83852935,0.83852935
ARG,2020,1.1338495,1.1338495
ARG,2021,1.5540321,1.5540321
ARG,2022,1.6137893,1.6137893
ARG,2023,1.2497439,1.2497439
ARG,2024,0.82212263,0.82212263
ARM,2000,0,0
ARM,2001,0,0
ARM,2002,0,0
ARM,2003,0,0
ARM,2004,0,0
ARM,2005,0,0
ARM,2006,0,0
ARM,2007,0,0
ARM,2008,0,0
ARM,2009,0,0
ARM,2010,0,0
ARM,2011,0,0
ARM,2012,0,0
ARM,2013,0,0
ARM,2014,0,0
ARM,2015,0,0
ARM,2016,0,0
ARM,2017,0,0
ARM,2018,0,0
ARM,2019,0,0
ARM,2020,0,0
ARM,2021,0,0
ARM,2022,0,0
ARM,2023,0,0
ARM,2024,0,0
ABW,2000,0,0
ABW,2001,0,0
ABW,2002,0,0
ABW,2003,0,0
ABW,2004,0,0
ABW,2005,0,0
ABW,2006,0,0
ABW,2007,0,0
ABW,2008,0,0
ABW,2009,0,0
ABW,2010,0,0
ABW,2011,0,0
ABW,2012,0,0
ABW,2013,0,0
ABW,2014,0,0
ABW,2015,0,0
ABW,2016,0,0
ABW,2017,0,0
ABW,2018,0,0
ABW,2019,0,0
ABW,2020,0,0
ABW,2021,0,0
ABW,2022,0,0
AUS,1985,72.26638,72.26638
AUS,1986,71.48085,71.48085
AUS,1987,73.885796,73.885796
AUS,1988,73.93112,73.93112
AUS,1989,74.99026,74.99026
AUS,1990,79.25488,79.25488
AUS,1991,80.538574,80.538574
AUS,1992,80.54646,80.54646
AUS,1993,80.587364,80.587364
AUS,1994,80.458496,80.458496
AUS,1995,81.002,81.002
AUS,1996,82.403465,82.403465
AUS,1997,83.32853,83.32853
AUS,1998,83.193,83.193
AUS,1999,82.72683,82.72683
AUS,2000,83.13425,83.13425
AUS,2001,80.21047,80.21047
AUS,2002,76.89829,76.89829
AUS,2003,76.83559,76.83559
AUS,2004,78.07007,78.07007
AUS,2005,79.30138,79.30138
AUS,2006,78.053696,78.053696
AUS,2007,76.2737,76.2737
AUS,2008,75.08354,75.08354
AUS,2009,72.837135,72.837135
AUS,2010,70.13587,70.13587
AUS,2011,67.106285,67.106285
AUS,2012,65.97782,65.97782
AUS,2013,62.28963,62.28963
AUS,2014,62.681202,62.681202
AUS,2015,63.86078,63.86078
AUS,2016,62.87418,62.87418
AUS,2017,61.462715,61.462715
AUS,2018,59.61238,59.61238
