
country_name,country_code,coal_exports_usd_2024,total_exports_year,total_exports_usd,coal_export_share_percent
Australia,AUS,55862411000,2024,432883024043.448,12.90473589798087
Indonesia,IDN,30489507000,2024,309745619367.11,9.84340216410418
Russia,RUS,21779671000,2024,476430904566.737,4.571422800501635
United States,USA,14215235000,2024,3180241000000.0,0.4469860931923083
Mongolia,MNG,8534943000,2024,16306989868.1926,52.3391690863053
Canada,CAN,7061075000,2024,727540727211.806,0.970540168529196
South Africa,ZAF,6294296000,2024,127482421006.325,4.937383484180701
Colombia,COL,6013066000,2024,66852963831.4316,8.994464351889954
Mozambique,MOZ,1749857000,2024,9579549359.20507,18.26658994474043
China,CHN,1273080000,2024,3753056083353.75,0.0339211557654733
Netherlands,NLD,914300000,2024,1032789042813.28,0.0885272753775039
Poland,POL,901000000,2024,478651059351.891,0.1882373354025337
Kazakhstan,KAZ,603000000,2023,90360130435.2592,0.6673297139959692
Philippines,PHL,515500000,2024,118974717244.898,0.4332853331677964
United Arab Emirates,ARE,496000000,2023,558401543008.85,0.0888249694525179
