
Entity,Code,Year,Coal_CO2_Emissions,Global_Share
Afghanistan,AFG,2023,3843091.0,0.00024962385224721386
Albania,ALB,2023,788590.0,5.1222017288591496e-05
Algeria,DZA,2023,688810.0,4.4740914453080446e-05
Andorra,AND,2023,0.0,0.0
Argentina,ARG,2023,4106394.8,0.00026672646804978785
Armenia,ARM,2023,40706.0,2.644014552238052e-06
Australia,AUS,2023,142666500.0,0.009266749425560607
Austria,AUT,2023,10891721.0,0.0007074600506784452
Azerbaijan,AZE,2023,0.0,0.0
Bahamas,BHS,2023,3870.0,2.5137169746870883e-07
Bangladesh,BGD,2023,23905314.0,0.0015527440203365606
Belarus,BLR,2023,4393960.0,0.0002854049570567462
Belgium,BEL,2023,10158800.0,0.0006598539535517104
Benin,BEN,2023,289304.0,1.8791430895216365e-05
Bermuda,BMU,2023,0.0,0.0
Bhutan,BTN,2023,845729.0,5.4933419723130144e-05
Bolivia,BOL,2023,21279.0,1.3821546125159316e-06
Bosnia and Herzegovina,BIH,2023,14309197.0,0.0009294385372878956
Botswana,BWA,2023,3783306.0,0.00024574058172184776
Brazil,BRA,2023,54848320.0,0.003562613773050887
Brunei,BRN,2023,3109297.0,0.00020196105034221291
Bulgaria,BGR,2023,14885241.0,0.0009668548572095144
Burundi,BDI,2023,53859.0,3.4983535539966895e-06
Cambodia,KHM,2023,4440076.0,0.0002884003723540245
Canada,CAN,2023,36769324.0,0.002388311986733058
Chile,CHL,2023,14492830.0,0.0009413662217636763
China,CHN,2023,8550844000.0,0.5554108969173447
Colombia,COL,2023,16001608.0,0.0010393672778265816
Costa Rica,CRI,2023,43788.0,2.844202555235096e-06
Croatia,HRV,2023,1336470.0,8.680897481033728e-05
Cuba,CUB,2023,15480.0,1.0054867898748353e-06
Cyprus,CYP,2023,111668.0,7.253275119621648e-06
Czechia,CZE,2023,44852984.0,0.002913377448221405
Democratic Republic of Congo,COD,2023,70735.0,4.594516025955844e-06
Denmark,DNK,2023,2765814.0,0.0001796504806363616
Dominican Republic,DOM,2023,7376031.0,0.00047910217908315707
Egypt,EGY,2023,8584749.0,0.0005576131598120932
El Salvador,SLV,2023,2919.0,1.8960051289694085e-07
Estonia,EST,2023,6328349.0,0.00041105111894170697
Eswatini,SWZ,2023,227504.0,1.4777278206956364e-05
Ethiopia,ETH,2023,1162460.0,7.550634197402461e-05
Finland,FIN,2023,8833524.0,0.0005737720730001495
France,FRA,2023,19635840.0,0.0012754249178356515
Georgia,GEO,2023,791960.0,5.1440912022562956e-05
Germany,DEU,2023,188477460.0,0.012242351176948493
Greece,GRC,2023,6389080.0,0.00041499583588200986
Guatemala,GTM,2023,2971728.0,0.00019302540355950676
Guyana,GUY,2023,3040.0,1.9745993806327514e-07
Hong Kong,HKG,2023,13291000.0,0.0008633026436838783
Hungary,HUN,2023,3781948.0,0.00024565237428898925
Iceland,ISL,2023,516851.0,3.3571502121033494e-05
India,IND,2023,2032011900.0,0.131987152604552
Indonesia,IDN,2023,399050600.0,0.025919903539510784
Iran,IRN,2023,5443789.0,0.00035359547327945345
Iraq,IRQ,2023,6390.0,4.150555934948448e-07
Ireland,IRL,2023,2758014.0,0.00017914384000580451
Israel,ISR,2023,12170411.0,0.0007905159875870403
Italy,ITA,2023,21872148.0,0.0014206819044048642
Jamaica,JAM,2023,328942.0,2.1366074653424293e-05
Japan,JPN,2023,393897660.0,0.025585199850943756
Jordan,JOR,2023,1662454.0,0.00010798291574771186
Kazakhstan,KAZ,2023,146571220.0,0.009520376323374564
Kenya,KEN,2023,3101389.0,0.0002014473946875404
Kuwait,KWT,2023,336952.0,2.1886355608650227e-05
