
Country,Production_Mt,Water_Usage_Mm3,Water_Usage_Share
China,4362.1,1880.0651,0.5044231414133237
India,968.8,417.5528,0.11202978826740057
Indonesia,781.3,336.7403,0.09034772251581344
United States,524.0,225.844,0.06059414642043549
Russia,479.9,206.83689999999999,0.055494524555662186
Australia,442.9,190.88989999999998,0.051215930247348995
South Africa,238.0,102.578,0.027521768794014592
Kazakhstan,117.7,50.7287,0.013610555407796291
Germany,102.3,44.0913,0.011829735074065935
Poland,88.7,38.2297,0.010257062571550816
Turkey,78.5,33.8335,0.009077558194664477
Mongolia,64.7,27.8857,0.007481758155347664
Colombia,49.4,21.2914,0.005712501590018154
Canada,48.6,20.9466,0.005619991442811383
Vietnam,47.4,20.429399999999998,0.005481226222001224
Serbia,33.2,14.3092,0.003839171109081027
Czech Republic,30.0,12.93,0.0034691305202539397
North Korea,21.9,9.438899999999999,0.0025324652797853757
Bulgaria,21.0,9.051,0.002428391364177758
Laos,16.6,7.1546,0.0019195855545405135
Ukraine,16.4,7.0684,0.0018964580177388203
Romania,14.8,6.3788,0.001711437723325277
Philippines,14.5,6.2495,0.0016767464181227378
Pakistan,13.8,5.9478,0.0015958000393168125
Thailand,12.8,5.5168,0.0014801623553083478
Bosnia and Herzegovina,11.7,5.0427,0.0013529609028990366
Mozambique,10.6,4.5686,0.0012257594504897255
Greece,10.5,4.5255,0.001214195682088879
Kosovo,6.9,2.9739,0.0007979000196584062
Brazil,6.6,2.8446,0.0007632087144558668
Uzbekistan,6.4,2.7584,0.0007400811776541739
Mexico,5.7,2.4567,0.0006591347988482486
