
Country,Production_Mt,Production_Share,Coal_Ash_Mt,Waste_to_Use_Ratio,Proven_Reserves_Mt
China,4362.1,0.5044231414133238,664.7840400000001,0.1524,143197.0
India,968.8,0.11202978826740057,147.64512,0.1524,111052.0
Indonesia,781.3,0.09034772251581344,119.07012,0.1524,38600.0
United States,524.0,0.06059414642043549,79.8576,0.1524,248941.0
Russia,479.9,0.05549452455566219,73.13676,0.1524,162166.0
Australia,442.9,0.051215930247349,67.49796,0.1524,150227.0
South Africa,238.0,0.027521768794014592,36.2712,0.1524,34790.0
Kazakhstan,117.7,0.013610555407796291,17.93748,0.1524,25020.0
Germany,102.3,0.011829735074065935,15.59052,0.1524,33977.0
Poland,88.7,0.010257062571550816,13.517880000000002,0.1524,2814.0
Turkey,78.5,0.009077558194664477,11.9634,0.1524,
Mongolia,64.7,0.007481758155347664,9.860280000000001,0.1524,
Colombia,49.4,0.005712501590018154,7.528560000000001,0.1524,
Canada,48.6,0.0056199914428113834,7.40664,0.1524,
Vietnam,47.4,0.005481226222001225,7.22376,0.1524,
Serbia,33.2,0.0038391711090810274,5.059680000000001,0.1524,
Czech Republic,30.0,0.00346913052025394,4.572,0.1524,
North Korea,21.9,0.002532465279785376,3.33756,0.1524,
Bulgaria,21.0,0.002428391364177758,3.2004,0.1524,
Laos,16.6,0.0019195855545405137,2.5298400000000005,0.1524,
Ukraine,16.4,0.0018964580177388203,2.49936,0.1524,
Romania,14.8,0.0017114377233252772,2.25552,0.1524,
Philippines,14.5,0.0016767464181227376,2.2098,0.1524,
Pakistan,13.8,0.0015958000393168125,2.10312,0.1524,
Thailand,12.8,0.0014801623553083478,1.9507200000000002,0.1524,
Bosnia and Herzegovina,11.7,0.0013529609028990366,1.78308,0.1524,
Mozambique,10.6,0.0012257594504897255,1.61544,0.1524,
Greece,10.5,0.001214195682088879,1.6002,0.1524,
Kosovo,6.9,0.0007979000196584062,1.05156,0.1524,
Brazil,6.6,0.0007632087144558668,1.00584,0.1524,
Uzbekistan,6.4,0.0007400811776541739,0.9753600000000001,0.1524,
Mexico,5.7,0.0006591347988482486,0.8686800000000001,0.1524,
